date,name,n
2021-01-15,Argentina,0.5
2021-02-15,Argentina,0.85
2021-03-15,Argentina,4.85
2021-04-15,Argentina,12.44
2021-05-15,Argentina,18.43
2021-06-15,Argentina,30.39
2021-07-15,Argentina,48.19
2021-08-15,Argentina,60.04
2021-09-15,Argentina,64.43
2021-10-15,Argentina,69.59
2021-11-15,Argentina,80.44
2021-12-15,Argentina,83.84
2022-01-15,Argentina,87.21
2022-02-15,Argentina,89.25
2022-03-15,Argentina,89.98
2022-04-15,Argentina,90.25
2022-05-15,Argentina,90.4
2022-06-15,Argentina,90.52
2022-07-15,Argentina,90.59
2022-08-15,Argentina,90.69
2022-09-15,Argentina,90.8
2022-10-15,Argentina,90.87
2022-11-15,Argentina,90.93
2022-12-15,Argentina,90.97
2021-01-15,Bolivia,0
2021-02-15,Bolivia,0
2021-03-15,Bolivia,1.08
2021-04-15,Bolivia,2.85
2021-05-15,Bolivia,6.7
2021-06-15,Bolivia,12.86
2021-07-15,Bolivia,20.69
2021-08-15,Bolivia,28.08
2021-09-15,Bolivia,34.04
2021-10-15,Bolivia,36.1
2021-11-15,Bolivia,38.9
2021-12-15,Bolivia,43.37
2022-01-15,Bolivia,52.44
2022-02-15,Bolivia,55.98
2022-03-15,Bolivia,57.41
2022-04-15,Bolivia,58.18
2022-05-15,Bolivia,58.79
2022-06-15,Bolivia,59.07
2022-07-15,Bolivia,59.4
2022-08-15,Bolivia,59.85
2022-09-15,Bolivia,60.1
2022-10-15,Bolivia,60.1
2022-11-15,Bolivia,60.1
2022-12-15,Bolivia,60.1
2021-01-15,Brazil,0
2021-02-15,Brazil,2.47
2021-03-15,Brazil,4.69
2021-04-15,Brazil,11.83
2021-05-15,Brazil,17.91
2021-06-15,Brazil,26.9
2021-07-15,Brazil,42.14
2021-08-15,Brazil,55.5
2021-09-15,Brazil,67.23
2021-10-15,Brazil,72.46
2021-11-15,Brazil,75.23
2021-12-15,Brazil,76.7
2022-01-15,Brazil,77.52
2022-02-15,Brazil,81.12
2022-03-15,Brazil,83.56
2022-04-15,Brazil,83.56
2022-05-15,Brazil,85.06
2022-06-15,Brazil,85.61
2022-07-15,Brazil,85.61
2022-08-15,Brazil,86.39
2022-09-15,Brazil,86.73
2022-10-15,Brazil,87.03
2022-11-15,Brazil,87.03
2022-12-15,Brazil,87.38
2021-01-15,Chile,0.07
2021-02-15,Chile,10.9
2021-03-15,Chile,25.41
2021-04-15,Chile,39.17
2021-05-15,Chile,46.49
2021-06-15,Chile,60.65
2021-07-15,Chile,68.98
2021-08-15,Chile,72.54
2021-09-15,Chile,74.78
2021-10-15,Chile,82.38
2021-11-15,Chile,85.36
2021-12-15,Chile,87.31
2022-01-15,Chile,89.2
2022-02-15,Chile,90.38
2022-03-15,Chile,91.06
2022-04-15,Chile,91.32
2022-05-15,Chile,91.49
2022-06-15,Chile,91.76
2022-07-15,Chile,91.91
2022-08-15,Chile,92.05
2022-09-15,Chile,92.16
2022-10-15,Chile,92.19
2022-11-15,Chile,92.22
2022-12-15,Chile,92.24
2021-01-15,Colombia,0
2021-02-15,Colombia,0
2021-03-15,Colombia,1.68
2021-04-15,Colombia,1.68
2021-05-15,Colombia,8.78
2021-06-15,Colombia,8.78
2021-07-15,Colombia,28.07
2021-08-15,Colombia,39.99
2021-09-15,Colombia,47.89
2021-10-15,Colombia,55.23
2021-11-15,Colombia,55.23
2021-12-15,Colombia,55.23
2022-01-15,Colombia,75.62
2022-02-15,Colombia,79.04
2022-03-15,Colombia,81.89
2022-04-15,Colombia,81.89
2022-05-15,Colombia,81.89
2022-06-15,Colombia,81.89
2022-07-15,Colombia,81.89
2022-08-15,Colombia,81.89
2022-09-15,Colombia,81.89
2022-10-15,Colombia,81.89
2022-11-15,Colombia,81.89
2022-12-15,Colombia,81.89
2021-01-15,Ecuador,0
2021-02-15,Ecuador,0.07
2021-03-15,Ecuador,1.29
2021-04-15,Ecuador,3.67
2021-05-15,Ecuador,9.58
2021-06-15,Ecuador,14.73
2021-07-15,Ecuador,34.36
2021-08-15,Ecuador,58.98
2021-09-15,Ecuador,61.04
2021-10-15,Ecuador,65.23
2021-11-15,Ecuador,72.89
2021-12-15,Ecuador,78.04
2022-01-15,Ecuador,80.51
2022-02-15,Ecuador,81.8
2022-03-15,Ecuador,82.31
2022-04-15,Ecuador,83.79
2022-05-15,Ecuador,84.17
2022-06-15,Ecuador,84.33
2022-07-15,Ecuador,84.46
2022-08-15,Ecuador,84.61
2022-09-15,Ecuador,84.61
2022-10-15,Ecuador,84.61
2022-11-15,Ecuador,84.61
2022-12-15,Ecuador,85.06
2021-01-15,Peru,0
2021-02-15,Peru,0.36
2021-03-15,Peru,1.32
2021-04-15,Peru,2.2
2021-05-15,Peru,5.52
2021-06-15,Peru,11.31
2021-07-15,Peru,19.19
2021-08-15,Peru,27.61
2021-09-15,Peru,42.03
2021-10-15,Peru,52.84
2021-11-15,Peru,63.28
2021-12-15,Peru,71.13
2022-01-15,Peru,74.02
2022-02-15,Peru,80.29
2022-03-15,Peru,83.81
2022-04-15,Peru,85.34
2022-05-15,Peru,86.16
2022-06-15,Peru,86.65
2022-07-15,Peru,87.03
2022-08-15,Peru,87.42
2022-09-15,Peru,87.71
2022-10-15,Peru,87.9
2022-11-15,Peru,88.29
2022-12-15,Peru,88.64
2021-01-15,South America,0.05
2021-02-15,South America,1.83
2021-03-15,South America,4.4
2021-04-15,South America,10.17
2021-05-15,South America,15.36
2021-06-15,South America,23.95
2021-07-15,South America,37.36
2021-08-15,South America,48.88
2021-09-15,South America,58.5
2021-10-15,South America,64.73
2021-11-15,South America,69.9
2021-12-15,South America,72.66
2022-01-15,South America,76.65
2022-02-15,South America,80.68
2022-03-15,South America,82.49
2022-04-15,South America,83.33
2022-05-15,South America,83.76
2022-06-15,South America,84.15
2022-07-15,South America,84.39
2022-08-15,South America,84.72
2022-09-15,South America,84.95
2022-10-15,South America,85.17
2022-11-15,South America,85.22
2022-12-15,South America,85.45
2021-01-15,Uruguay,0
2021-02-15,Uruguay,0
2021-03-15,Uruguay,6.28
2021-04-15,Uruguay,29.62
2021-05-15,Uruguay,39.82
2021-06-15,Uruguay,62.28
2021-07-15,Uruguay,71.84
2021-08-15,Uruguay,76.37
2021-09-15,Uruguay,78.34
2021-10-15,Uruguay,79.34
2021-11-15,Uruguay,79.95
2021-12-15,Uruguay,80.38
2022-01-15,Uruguay,81.73
2022-02-15,Uruguay,85.97
2022-03-15,Uruguay,86.7
2022-04-15,Uruguay,87.02
2022-05-15,Uruguay,87.3
2022-06-15,Uruguay,87.52
2022-07-15,Uruguay,87.61
2022-08-15,Uruguay,87.66
2022-09-15,Uruguay,87.7
2022-10-15,Uruguay,87.72
2022-11-15,Uruguay,87.74
2022-12-15,Uruguay,87.76

